No,ID AP2P,ID  NAMA,ALAMAT,LATITUDE,LONGTITUDE,KONSTRUKSI,GARDU INDUK /TRAFO,PENYULNG,KEYPOINT,"MERK
TRAFO",NO SERI TRAFO TAHUN,TAHUN,"TIPE
TRAFO
( OD / ID )*",KAPASITAS TRAVO (KVA),JENIS PELAYANAN,STATUS OPERASI,"NAMA BENGKEL
REVISI TRAFO"
371,,GD PRS0012,"Jl. Poros Kaltim,sekatak buji",,,,,TJS 01,LBS SEKATAK,KALLLA TRAFO,17S466,2017,,100,UMUM,OPERASI,
372,,GD IPA0013,PDAM Sekatak buji,,,,,TJS 01,,KALLLA TRAFO,,2004,,100,UMUM,OPERASI,
373,,GD KSM0002,"Kasimudin keraton, Tanjung Palas",,,,,TJS 01,,Starlite,,2004,,50,UMUM,OPERASI,
374,,GD MNG0004,"Manunggal, Karang Anyar",,,,,TJS 01,,Starlite,,2004,,50,UMUM,OPERASI,
375,,GD PMK0006,"Pramuka, Gunung Putih",,,,,TJS 01,,STARLITE,42021,2004,,50,UMUM,OPERASI,
376,,GD MLM0007,"Mulawarman, Gunung Putih",,,,,TJS 01,,SINTRA,,1995,,160,UMUM,OPERASI,
377,,GD KRB0009,"Hasanudin, Kerubung",,,,,TJS 01,,Starlite,51010,1995,,50,UMUM,OPERASI,
378,,GD PDK0010,"Padat Karya, Palas Ilir",,,,,TJS 01,,Starlite,,1991,,25,UMUM,OPERASI,
379,,GD PDK0011,"Padat Karya, Palas Ilir",,,,,TJS 01,,Unindo,48630,1991,,50,UMUM,OPERASI,
380,,GD TRB0012,Teras Baru,,,,,TJS 01,,Sanghai,,1991,,25,UMUM,OPERASI,
381,,GD KMK0014,"Kimas Kertasono, Karang Anyar",,,,,TJS 01,,Unindo,,2008,,50,UMUM,OPERASI,
382,,GD PDK0015,"Padat Karya, Palas Ilir",,,,,TJS 01,,Starlite,32021,2008,,100,UMUM,OPERASI,
383,,GD KSM0016,"Kasimudin, Palas Ulu",,,,,TJS 01,,Starlite,11051,2002,,50,UMUM,OPERASI,
384,,GD PMK0017,"Pramuka, Palas Tengah",,,,,TJS 01,,Trafindo,5130218,2005,,50,UMUM,OPERASI,
385,,GD BDH0018,"Bendahara, Palas Ilir",,,,,TJS 01,,Starlite,41032,2005,,100,UMUM,OPERASI,
386,,GD PDN0019,Perdana,,,,,TJS 01,,B&D,31084,2003,,160,UMUM,OPERASI,
387,,GD DPG0020,"Diponegoro, Gunung Putih",,,,,TJS 01,,Starlite,82086,2003,,100,UMUM,OPERASI,
388,,GD KMK0021,"Kimas Kertasono, Karang Anyar",,,,,TJS 01,,B&D,1500221,2015,,100,UMUM,OPERASI,
389,,GD AGS0022,"Agus Salim, Gunung Putih",,,,,TJS 01,,Trafindo,7131782,2007,,100,UMUM,OPERASI,
390,,GD AML0023,"Gg. Amal, Karang Anyar",,,,,TJS 01,,Trafindo,8134095,2008,,50,UMUM,OPERASI,
391,,GD TRS0024,Teras Nawang,,,,,TJS 01,,Unindo,,2007,,25,UMUM,OPERASI,
392,,GD TRS0025,Teras Nawang,,,,,TJS 01,,Unindo,,2007,,25,UMUM,OPERASI,
393,,GD TRB0026,Teras Baru,,,,,TJS 01,,Starlite,7000323,2007,,100,UMUM,OPERASI,
394,,GD PMK0027,Pramuka,,,,,TJS 01,,Starlite,1022171127,2010,,100,UMUM,OPERASI,
395,,GD KSM0028,Kasimudin,,,,,TJS 01,,Starlite,,2010,,100,UMUM,OPERASI,
396,,GD AYN0029,Jl. Ahmad Yani,,,,,TJS 01,,Starlite,11231262,2011,,100,UMUM,OPERASI,
397,,GD PJL0030,Pejalin,,,,,TJS 01,,Starlite,11231262,2011,,100,UMUM,OPERASI,
398,,GD KSM0031,Jl. Kasimudin,,,,,TJS 01,,B&D,1205138,2012,,160,UMUM,OPERASI,
399,,GD BDH0032,Jl. Bendahara,,,,,TJS 01,,B&D,,2012,,100,UMUM,OPERASI,
400,,GD TKT0033,Jl. Transkaltim,,,,,TJS 01,,Starlite,,2012,,25,UMUM,TIDAK OPERASI,
401,,GD BDA0034,Jl. Budiman Arifin,,,,,TJS 01,,Trafindo,111311187,2017,,50,UMUM,OPERASI,
402,,GD PDAM0035,,,,,,TJS 01,,TRANSFORMER,1404219,2014,,160,UMUM,OPERASI,
403,,GD PDK0036,"Padat Karya, Palas Ilir",,,,,TJS 01,,KALLA TRAFO,16C161,2016,,50,UMUM,OPERASI,
404,,GD TKT0037,Jl. Transkaltim,,,,,TJS 01,,KALLA TRAFO,17C492,2017,,100,UMUM,OPERASI,
405,,GD LBG0038,Lebong,,,,,TJS 01,,KALLA TRAFO,17C461,2017,,100,UMUM,OPERASI,
406,,GD LBG0039,Lebong,,,,,TJS 01,,TRANSFORMER,1304418,2013,,100,UMUM,OPERASI,
407,,GD PDK0040,"Padat Karya, Palas Ilir",,,,,TJS 01,,KALLA TRAFO,17C475,2017,,100,UMUM,OPERASI,
408,,GD KSM0041,Jl. Kasimudin,,,,,TJS 01,,KALLA TRAFO,17C125,2017,,100,UMUM,OPERASI,
409,,GD SKW0223,Jl. Sengkawit ( MAN ),,,,,TJS 04,,Weltraf,22ACN00028,2022,,50,KHUSUS,OPERASI,
410,,GD TGT0227,Jl. Tiga Tawai,,,,,TJS 02,,SINTRA,18036164,2007,,160,UMUM,OPERASI,
411,,GD JLR0228,Jl. Jelarai ( dekat jembatan ),2.82231,117.40476,,,TJS 02,REC KOMPI,Weltraf,22ACN00029,2022,,100,UMUM,OPERASI,
412,,GD SBL0229,Sabanar lama,,,,,TJS 04,REC PENGADILAN,WELTRAF,22AFH00142,2022,,250,UMUM,OPERASI,
413,,GD SLM0230,Sei Limau,,,,,TJS 02,REC SEILIMAU,STARLITE,2.2016E+12,2022,,160,UMUM,OPERASI,
414,,GD PBB0231,"Jl. Poros Tanjung - Berau, KM 04",,,,,TJS 02,REC KOMPI,WELTRAF,22ACN00433,2022,,100,UMUM,OPERASI,
415,,GD PKS0077,KM 9 ( depan puskesmas ),,,,,OG SAJAU,,STARLITE,2201601002-726,2022,,160,UMUM,OPERASI,
416,,GD SUG042,Desa Sungai Urang,,,,,TJS 1,REC KASIMUDIN,WELTRAF,22ABN00366,2022,,50,UMUM,OPERASI,
417,,,,,,,,,,,,,,,,,
418,,,,,,,,,,,,,,,,,
419,,,,,,,,,,,,,,,,,
420,,,,,,,,,,,,,,,,,
421,,,,,,,,,,,,,,,,,
422,,,,,,,,,,,,,,,,,
423,,,,,,,,,,,,,,,,,
424,,,,,,,,,,,,,,,,,
425,,,,,,,,,,,,,,,,,
426,,,,,,,,,,,,,,,,,
427,,,,,,,,,,,,,,,,,
428,,,,,,,,,,,,,,,,,
429,,,,,,,,,,,,,,,,,
430,,,,,,,,,,,,,,,,,
431,,,,,,,,,,,,,,,,,
432,,,,,,,,,,,,,,,,,
433,,,,,,,,,,,,,,,,,
434,,,,,,,,,,,,,,,,,
435,,,,,,,,,,,,,,,,,
436,,,,,,,,,,,,,,,,,
437,,,,,,,,,,,,,,,,,
438,,,,,,,,,,,,,,,,,
439,,,,,,,,,,,,,,,,,
440,,,,,,,,,,,,,,,,,
441,,,,,,,,,,,,,,,,,
442,,,,,,,,,,,,,,,,,
443,,,,,,,,,,,,,,,,,
444,,,,,,,,,,,,,,,,,
445,,,,,,,,,,,,,,,,,
446,,,,,,,,,,,,,,,,,
447,,,,,,,,,,,,,,,,,
448,,,,,,,,,,,,,,,,,
449,,,,,,,,,,,,,,,,,
450,,,,,,,,,,,,,,,,,
451,,,,,,,,,,,,,,,,,
452,,,,,,,,,,,,,,,,,
